,Teff,logg,FeH,bpDered,rpDered,gDered,e_bv,NUVDered,bp_rp_dered,colorColorY
0,5250,2,-2.09,9.322605267,8.444116652,8.977593854,0.05960806,13.76363765,0.878488615,-1.077013354
1,19883.96094,3.856600046,-3.06,8.866393452,7.847338612,8.451914712,0.1931025,13.6876579,1.01905484,-1.862717559
2,5250,3,-3.71,14.19139841,13.30746242,13.84148686,0.01769849,17.85439293,0.88393599,-1.778273001
3,5456.290527,2.723599911,-3.35,14.29853033,13.27652711,13.87731169,0.02713684,19.07360928,1.02200322,-1.514803654
4,4750,2.5,-2.9,13.4460225,12.29153547,12.95398937,0.03886499,19.47566747,1.154487024,-1.077505183
5,4750,1.5,-4.17,12.11770024,11.01749194,11.65638807,0.01172912,17.50061117,1.100208293,-1.336193733
6,4750,1,-3.21,13.60174795,12.5663602,13.174669,0.103335,18.7371346,1.035387755,-1.423664306
7,5000,3.5,-2.83,13.39938672,12.35516216,12.96682601,0.03564841,18.58963551,1.044224562,-1.253623139
8,5250,2.5,-3.19,12.66612859,11.77510199,12.31296158,0.06362472,16.53327703,0.891026601,-1.734082878
9,6096.113281,2.722899914,-3.05,13.48570437,12.34822916,13.00517419,0.1015465,18.76157334,1.137475201,-1.884273465
10,4750,1,-3.3,12.3581743,11.38553347,11.96403141,0.04111147,16.81801296,0.97264083,-1.57207444
11,6028.708984,2.323899984,-2.85,6.316340823,5.132691821,5.813020044,0.02542847,13.27566788,1.183649002,-0.293010635
12,4500,1,-2.6,8.985574639,7.856743837,8.510873445,0.1225308,15.13828701,1.128830802,-1.007817202
13,6042.214355,2.49729991,-2.48,8.605697217,7.580457065,8.186828853,0.02154496,13.97253449,1.025240151,-0.932413495
