,,,Name,_RA,_DEC,RVel,SNR,Teff,e_Teff,logg,e_logg,FeH,e_FeH,vt,e_vt,logL,f_logg,Teff-LAMOST,logg-LAMOST,FeH-LAMOST,LAMOST,Vmag,EBV-d,EBV-Na,B0mag,V0mag,g0mag,r0mag,J0mag,Ks0mag,dist,DR3Name_x,ra,ra_error,dec,dec_error,parallax,parallax_error,Gmag,RPmag,BPmag,BP-RP,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,Column0,DR3Name_y,RA,DEC,BP-RP_y,MatchID,MatchRA,MatchDEC,dstArcSec,survey,fov_radius,IAUName,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,redG,redBP,redRP,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
0,0,0,J0002+0343,0.645994,3.727085,-91.4,23.7,6207,110,4.16,0.05,-3.02,0.24,1.19,0.30,0.307,0.060,0,6361,4.30,LAMOST,15.094,0.028,0.024,15.446,15.019,15.068,14.894,14.062,13.738,8.947621188548363e-05,2740128975242655232,0.6460112878887468,0.026239844,3.726998612336613,0.017161641,0.7327447788020129,0.031044269,14.924104690551758,14.532942,15.155141,0.62219906,6582.218,6547.5474,6621.694,4.2198,4.1931,4.2765,-3.1582,-3.6496,-2.9093,0,2.74012897524266E+18,0.646011287888747,3.72699861233661,0.62219906,6381013723966867789,0.646004062381163,3.72726565871331,0.96171730792736,AIS,0.1198313,GALEX J000235.0+034338,3,270,270,22.13761,0.3126617,17.67788,0.02553598,5.069427,1.459499,308.211,7.247209,0.01864569,0.52906,3.75452,1889.718,1919.364,,9.137945,9.315392,0,0.04709306,0.04185786,0,0.05063415181276547,0.0630434132179112,0.03460026810332726,15.092097586782089,14.498341731896673,14.873470538738992,17.542885204399997,0.5937558548854156,-1.2406325429069618
1,1,1,J0003+1556,0.795383,15.933828,-185.5,32.2,5302,45,2.31,0.08,-2.23,0.11,2.11,0.12,1.883,0.081,0,5289,1.09,LAMOST,12.321,0.058,0.035,12.747,12.166,12.368,11.912,10.779,10.312,4.415675303173565e-05,2772216224937941760,0.79543263790485,0.012779438,15.933848966913922,0.012117851,0.4062359747533595,0.015706463,12.084477424621582,11.5259905,12.461968,0.93597794,5663.2915,5655.8193,5671.748,2.5374,2.5325,2.5413,-1.8912,-1.9037,-1.877,1,2.77221622493794E+18,0.79543263790485,15.9338489669139,0.93597794,6376052689919281500,0.795441729310508,15.9339280971492,0.286602024337832,AIS,0.3392907,GALEX J000310.9+155602,1,263,263,-999,-999,16.85991,0.01779236,-999,-999,654.6895,10.72603,0.04367502,1.14587,15.89458,1929.701,1915.957,,19.41046,19.74644,0,-99,-99,0,0.11236829877430622,0.1434126188188623,0.08008079172270152,12.318555381181138,11.445909708277298,11.972109125847275,16.5437028552,0.8726456729038397,-1.2129714432965404
2,5,2,J0006+0123,1.657593,1.395354,-65.9,44.1,5675,53,3.23,0.04,-2.27,0.11,1.52,0.08,1.081,0.043,0,5500,2.52,LAMOST,13.123,0.036,0.041,13.793,13.028,13.487,13.008,11.856,11.470,0.00011611707026196183,2546607403970841472,1.6576733131731816,0.018510519,1.3952667138855257,0.0149144055,0.72709878585341,0.02029618,13.089282989501953,12.552856,13.444927,0.8920708,,,,,,,,,,2,2.54660740397084E+18,1.65767331317318,1.39526671388553,0.8920708,3132994749176227338,1.6575655965059,1.39552796983875,1.01728300878581,GII,0.4442397,GALEX J000637.8+012343,1,3281.25,3281.25,-999,-999,17.12392,0.005820533,-999,-999,513.3712,2.751468,0.02779579,2.05267,1.19226,1912.187,1924.269,,15.2206,14.83705,0,-99,-99,256,0.07193823471709156,0.09154390898585503,0.051041886819870076,13.353383091014145,12.50181411318013,13.017344754784862,16.9226784804,0.851568977834015,-1.7018028650230521
3,7,3,J0006+1057,1.571676,10.961624,-312.4,20.9,4691,38,1.63,0.14,-3.15,0.14,2.51,0.11,2.350,0.140,1,5012,1.72,LAMOST,12.912,0.070,0.043,13.555,12.725,13.076,12.590,10.954,10.330,3.278460615631654e-05,2765776046033609856,1.571690650335079,0.013105294,10.961594362906721,0.010507486,0.20044593216722278,0.015611612,12.593480110168457,11.893878,13.132258,1.2383804,,,,,,,,,,3,2.76577604603361E+18,1.57169065033508,10.9615943629067,1.2383804,6376052746827596907,1.57167066093207,10.9617050729249,0.404769319803196,AIS,0.503589,GALEX J000617.2+105742,1,107,107,-999,-999,19.36924,0.09184169,-999,-999,64.90878,5.489255,0.09056841,1.08712,11.12732,1930.766,1895.263,,1.924438,1.964458,1,-99,-99,0,0.22168640225273134,0.2898424720477999,0.16394560908014885,12.8424155279522,11.729932390919853,12.371793707915726,18.7135247116,1.1124831370323474,-1.1110957892787132
4,8,4,J0013+2350,3.463742,23.846972,-259.2,41.4,6093,120,3.98,0.04,-2.26,0.09,1.49,0.10,0.455,0.054,0,6238,3.91,LAMOST,12.328,0.053,0.041,12.608,12.187,12.305,12.053,11.173,10.876,0.00032967442365617125,2848805666604277120,3.4639923302991793,0.01213601,23.84672942194528,0.009619841,2.093415444424768,0.015537805,12.159748077392578,11.725774,12.425416,0.6996422,6402.3267,6352.5415,6424.903,4.1632,4.1517,4.1742,-2.0681,-2.2028,-1.8888,4,2.84880566660428E+18,3.46399233029918,23.8467294219453,0.6996422,6375982311513525548,3.46385713959003,23.8470365592528,1.19193434459541,AIS,0.2016478,GALEX J001351.3+235049,3,551,256,20.61843,0.1526567,15.35457,0.005930447,20.54138,2.887459,2619.219,14.30308,0.04729961,3.46792,23.64542,1917.393,1927.323,,77.65552,76.57662,0,0.1908217,0.1721804,0,0.1271647396122438,0.159118602232638,0.08756498549312516,12.266297397767362,11.638209014506874,12.032583337780334,15.0121208236,0.6280883832604882,-1.2302017449857514
5,9,5,J0022+4254,5.510848,42.916500,-183.3,23.2,6566,133,3.98,0.06,-2.99,0.25,0.96,0.30,0.585,0.072,0,6250,4.04,LAMOST,14.94,0.055,-9.900,15.190,14.792,14.935,14.747,13.889,13.700,2.580208305396933e-05,385205965989661568,5.510893983005021,0.018669544,42.916507942182456,0.010627429,0.5623726871734241,0.027218467,14.845625877380371,14.433265,15.089993,0.6567278,6575.139,6528.6323,6603.71,4.1049,4.0789,4.1311,-3.1408,-3.8439,-2.3007,5,3.85205965989662E+17,5.51089398300502,42.9165079421825,0.6567278,6372252763777140985,5.51074408117167,42.9165325250965,0.404995830208558,AIS,0.2839696,GALEX J002202.5+425459,3,220.15,98.15,21.12997,0.3777016,17.76708,0.03180327,12.82367,4.459962,283.9019,8.314003,0.06773724,5.12608,42.95298,1900.672,1920.233,,8.417221,8.739685,0,0.119127,0.1967592,0,0.18409053986052143,0.22929652360785857,0.12564453454098934,14.86069647639214,14.307620465459012,14.66153533751985,17.2766623824,0.553076010933129,-1.163957566045708
6,10,6,J0023+2023,5.795711,20.392651,-126.0,37.3,5197,68,2.79,0.05,-3.29,0.09,1.53,0.11,1.368,0.054,0,5250,2.55,LAMOST,13.674,0.095,0.064,14.083,13.418,13.695,13.180,12.004,11.489,8.387409751350536e-05,2799103583500062464,5.795697792317216,0.012798362,20.392571588115533,0.0108484775,0.3688422436430986,0.018722566,13.46955394744873,12.844203,13.912248,1.0680447,,,,,,,,,,6,2.79910358350006E+18,5.79569779231722,20.3925715881155,1.0680447,6375982325470070170,5.79564282867105,20.3928757004163,1.11040297613902,AIS,0.08100472,GALEX J002310.9+202334,1,96,0,-999,-999,18.27513,0.06228888,-999,-999,177.8071,10.19835,0.08781504,5.8724,20.43011,1909.382,1942.812,,5.271685,5.464354,0,-99,-99,-999,0.22179728676028743,0.28567058153056113,0.16025315855524105,13.626577418469438,12.68394984144476,13.247756660688443,17.6393491104,0.9426275770246786,-1.95728408770914
7,12,7,J0023+3558,5.916771,35.967957,-303.0,38.0,5145,82,3.20,0.06,-2.56,0.09,1.35,0.08,0.941,0.065,0,4960,3.36,LAMOST,14.215,0.065,0.058,14.686,14.041,14.273,13.858,12.611,12.127,0.00011792989663761842,366303780558169344,5.916803257475361,0.018703252,35.967842331798394,0.009943849,0.42553296750979686,0.020487014,13.983109474182129,13.394647,14.391623,0.9969759,,,,,,,,,,7,3.66303780558169E+17,5.91680325747536,35.9678423317984,0.9969759,6372252848600649711,5.91645759958004,35.9679290173109,1.05436574157324,AIS,0.5970064,GALEX J002339.9+355804,1,170.1,170.1,-999,-999,18.40482,0.06323612,-999,-999,157.7868,9.187685,0.07099512,5.49625,35.47799,1904.379,1893.528,,4.678118,4.716178,32,-99,-99,32,0.18128353987563164,0.23226144324519382,0.12991543908089426,14.159361556754805,13.264731560919106,13.801825934306498,17.890815331200002,0.8946299958356985,-1.9073891159141665
8,13,8,J0025+2305,6.432368,23.093561,-229.6,48.3,6308,144,3.93,0.04,-2.81,0.10,1.99,0.17,0.565,0.059,0,6152,3.26,LAMOST,13.1,0.071,0.043,13.306,12.911,13.042,12.840,11.999,11.697,0.00039039517658846535,2800845377421905792,6.432357118434465,0.0130224675,23.093172918456723,0.010118059,1.2683589783949556,0.017940005,12.974299430847168,12.541095,13.242631,0.7015362,,,,,,,,,,8,2.80084537742191E+18,6.43235711843446,23.0931729184567,0.7015362,6375982323324686472,6.43247367511939,23.0936456590744,1.7450871122451,AIS,0.4570071,GALEX J002543.7+230537,3,222,222,21.35694,0.2559037,16.15941,0.01376722,10.4046,2.451728,1248.063,15.82169,0.04642676,6.519,22.64365,1925.986,1887.492,,37.003,37.51663,1,0.09665484,0.1019074,0,0.124759226812561,0.1561396875292176,0.08594159045864529,13.086491312470782,12.455153409541355,12.849540204034607,15.8232802576,0.6313379029294275,-1.2547155422884462
9,16,9,J0032+4107,8.214463,41.130272,-396.8,43.6,5074,73,2.16,0.09,-2.69,0.11,1.83,0.08,1.957,0.093,0,5198,2.14,LAMOST,12.153,0.056,0.043,12.728,12.003,12.165,11.660,10.481,9.961,2.951705126303788e-05,381063654713703040,8.214435542737068,0.012398946,41.13027021216643,0.011974065,0.3613745805760945,0.014942829,11.914785385131836,11.301297,12.34723,1.0459328,,,,,,,,,,9,3.81063654713703E+17,8.21443554273707,41.1302702121664,1.0459328,2495981692507919622,8.21443247256092,41.130198769809,0.257327187177807,NGS,0.511498,GALEX J003251.4+410748,1,1632.1,1632.1,-999,-999,17.13122,0.007998075,-999,-999,509.9305,3.75549,0.06043413,8.8913,41.09078,1894.938,1902.824,,15.11859,15.26313,1,-99,-99,0,0.15270233116585974,0.19656671443352472,0.11031606663701557,12.150663285566475,11.190980933362985,11.762083053965977,16.6936768988,0.9596823522034903,-1.4590437756545231
