,,,Name,FeH,Teff,logg,RAdeg,DEdeg,dist_x,SOURCE_ID,RA,ra_error_x,DEC,dec_error_x,parallax_x,parallax_error_x,phot_g_mean_mag_x,phot_rp_mean_mag_x,phot_bp_mean_mag_x,bp_rp_x,mh_gspphot_x,mh_gspphot_lower_x,mh_gspphot_upper_x,Column0,dist_y,ra_y,ra_error_y,dec_y,dec_error_y,parallax,parallax_error_y,Gmag,RPmag,BPmag,BP-RP,mh_gspphot_y,mh_gspphot_lower_y,mh_gspphot_upper_y,MatchID,MatchRA,MatchDEC,dstArcSec,survey,fov_radius,IAUName,band,nuv_exptime,fuv_exptime,fuv_mag,fuv_magerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,nuv_flux,nuv_fluxerr,e_bv,ra_cent,dec_cent,xCenter,yCenter,SSAPFitsFile,nuv_flux_auto,nuv_flux_aper_7,nuv_artifact,fuv_flux_auto,fuv_flux_aper_7,fuv_artifact,redG,redBP,redRP,bpDered,rpDered,gDered,NUVDered,bp_rp_dered,colorColorY
0,196,75,52972-1213-507,-2.98,6463, 4.34,139.70791666666668,37.74077777777778,0.00017998669668473617,811812182598263552,139.7079377040665,0.030048858,37.74059277193653,0.0210776,0.46885573836924593,0.039756075,15.634916,15.235967,15.871942,0.6359749,-1.456,-1.4872,-1.4255,75,0.000179986696684736,139.707937704066,0.030048858,37.7405927719365,0.0210776,0.468855738369246,0.039756075,15.634916,15.235967,15.871942,0.6359749,-1.456,-1.4872,-1.4255,6373906501203919028,139.708022210392,37.7407306145743,0.551474890760318,AIS,0.5743884,GALEX J091849.9+374426,1,202,106,-999,-999,18.26666,0.03998476,-999,-999,179.1987,6.597807,0.0125195,139.35887,38.24492,1896.146,2012.28,,5.312946,5.395953,0,-99,-99,0,0.033883203996923746,0.042247621838327185,0.023217763399116513,15.829694378161674,15.212749236600883,15.601032796003077,18.176018820000003,0.6169451415607909,-1.4690406001451386
1,54,34,53327-2044-515,-4.00,5703, 4.68,25.150833333333328,23.749472222222224,0.0001003077089867271,290930261314166528,25.15092450776965,0.03547775,23.74940575968034,0.025970463,1.0662172811637158,0.03695532,15.341982,14.787697,15.7053,0.9176035,-2.4885,-2.4971,-2.4721,37,0.000100307708986727,25.1509245077696,0.03547775,23.7494057596803,0.025970463,1.06621728116372,0.03695532,15.341982,14.787697,15.7053,0.9176035,-2.4885,-2.4971,-2.4721,6377354526718953711,25.1509025276139,23.7495457559765,0.50916432819379,AIS,0.05638215,GALEX J014036.2+234458,1,396.1,396.1,-999,-999,18.96664,0.04263587,-999,-999,94.04645,3.692221,0.1319025,25.13151,23.69603,1955.138,1913.642,,2.788321,2.892466,256,-99,-99,256,0.3447408243652278,0.4374637291096786,0.24252199678245207,15.26783627089032,14.545175003217548,14.997241175634771,18.0116659,0.7226612676727733,-2.0276143398730255
2,194,74,54142-2667-094,-2.96,6456, 3.87,132.90291666666664,10.30088888888889,0.00010476368454172102,598558225898219776,132.90282508309565,0.021484176,10.30084122890959,0.012423401,0.42221293008586147,0.028655577,14.991313,14.563801,15.253571,0.68976974,-1.9157,-2.1381,-1.6163,74,0.000104763684541721,132.902825083096,0.021484176,10.3008412289096,0.012423401,0.422212930085861,0.028655577,14.991313,14.563801,15.253571,0.68976974,-1.9157,-2.1381,-1.6163,3797205325469188198,132.902873541397,10.3011699892778,1.19591815424295,MIS,0.5883073,GALEX J085136.6+101804,1,1594.05,0,-999,-999,18.01143,0.01243128,-999,-999,226.6869,2.59485,0.05419441,132.79959,10.88065,1904.025,2032.943,,6.72089,6.803835,9,-99,-99,-999,0.14610948397509296,0.18261281481664027,0.10037878269100774,15.070958185183361,14.463422217308992,14.845203516024906,17.6190624716,0.6075359678743695,-1.321234319583402
3,188,70,BD +03 740,-2.70,6485, 4.31,75.31916666666666,4.110305555555555,0.001024607677159019,3238602707819688064,75.31995300548486,0.020217475,4.109633758513785,0.01171548,5.893217343286422,0.025758335,9.65662,9.256126,9.884575,0.6284485,-2.4722,-3.7684,-2.1274,70,0.00102460767715902,75.3199530054849,0.020217475,4.10963375851378,0.01171548,5.89321734328642,0.025758335,9.65662,9.256126,9.884575,0.6284485,-2.4722,-3.7684,-2.1274,6381858136012095722,75.3197568180354,4.10935712111773,1.21986412717249,AIS,0.4428472,GALEX J050116.7+040633,3,191,190,17.43194,0.04963874,13.14334,0.003972065,386.567,17.66915,20075.42,73.42623,0.04751251,75.12449,4.5071,1939.717,1925.015,,595.203,542.4392,1,3.591061,3.578265,0,0.1294148674437758,0.1609816284774499,0.08819073924657858,9.72359337152255,9.167935260753422,9.527205132556224,12.799349427600001,0.5556581107691283,-0.4690482923993331
4,463,153,BD +17 3248,-2.17,5240, 2.72,262.06041666666664,17.50997222222222,0.0003600620797944833,4553184509407224576,262.06006569099804,0.009418723,17.509858255464035,0.009741847,1.2356886079783966,0.012943278,9.130475,8.553318,9.518049,0.9647312,,,,153,0.000360062079794483,262.060065690998,0.009418723,17.509858255464,0.009741847,1.2356886079784,0.012943278,9.130475,8.553318,9.518049,0.9647312,NaN,NaN,NaN,6375384173964691856,262.060096210871,17.5097335126322,0.461136235871059,AIS,0.265376,GALEX J172814.4+173035,1,135,135,-999,-999,14.1952,0.007436133,-999,-999,7619.41,52.17214,0.05960806,262.33723,17.53388,1966.571,1972.378,,225.9029,221.8683,0,-99,-99,0,0.15288114585932722,0.19544373271357515,0.10920134808144757,9.322605267286425,8.444116651918554,8.977593854140673,13.7636376456,0.8784886153678713,-1.0770133542911644
5,464,154,BD +23 3130,-2.52,5262, 2.76,263.17333333333335,23.736583333333336,0.0014504631279293378,4569481097095820032,263.171820830984,0.007028243,23.73617110791016,0.009353799,3.4088994596801037,0.011847642,8.718404,8.156107,9.089166,0.93305874,,,,154,0.00145046312792934,263.171820830984,0.007028243,23.7361711079102,0.009353799,3.4088994596801,0.011847642,8.718404,8.156107,9.089166,0.93305874,NaN,NaN,NaN,6375349058312080722,263.173077412477,23.7365134639024,4.32054156026531,AIS,0.3005105,GALEX J173241.5+234411,1,271.1,172,-999,-999,13.40586,0.003466599,-999,-999,15763.54,50.31849,0.06419398,262.84679,23.70378,1933.182,1932.231,,467.3629,449.5719,2,-99,-99,256,0.16571551175940155,0.2112402333160193,0.11777654793471645,8.877925766683981,8.038330452065283,8.552688488240598,12.941095584800001,0.8395953146186983,-1.2346779602215374
6,470,159,BD -18 5550,-3.20,4558, 0.81,299.7070833333333,-18.203027777777777,0.0005155236034506464,6867802519062194560,299.7072913210459,0.023299903,-18.203500277300126,0.015771594,1.9719504714382503,0.020387536,8.926519,8.197106,9.486404,1.289298,0.2912,0.2756,0.298,159,0.000515523603450646,299.707291321046,0.023299903,-18.2035002773001,0.015771594,1.97195047143825,0.020387536,8.926519,8.197106,9.486404,1.289298,0.2912,0.2756,0.298,6379606400620824539,299.70722918871,-18.202991887171,1.84249752886512,AIS,0.2209699,GALEX J195849.7-181210,1,107,107,-999,-999,15.08572,0.01238984,-999,-999,3355.16,38.278,0.1931025,299.92074,-18.2908,1938.849,1924.84,,99.47493,99.27976,0,-99,-99,0,0.47460428808379834,0.6200105481285261,0.3497673879704524,8.866393451871474,7.847338612029548,8.451914711916203,13.6876579,1.0190548398419264,-1.8627175589725224
7,394,124,BS 16023-046,-2.83,6571, 4.25,210.2270833333333,22.778416666666665,0.0003776447456805282,1256787527655339520,210.2267713340548,0.0138121685,22.77817679876337,0.011626536,0.9674287644328745,0.01843676,14.052066,13.677703,14.271985,0.59428215,-2.8933,-3.8791,-2.3254,124,0.000377644745680528,210.226771334055,0.0138121685,22.7781767987634,0.011626536,0.967428764432875,0.01843676,14.052066,13.677703,14.271985,0.59428215,-2.8933,-3.8791,-2.3254,6378550832953036566,210.226923608766,22.7783563301934,0.820479114916764,AIS,0.4446474,GALEX J140054.4+224642,3,120,120,22.23594,0.5370728,16.7417,0.02350674,4.630467,2.289961,729.9917,15.80085,0.01800827,210.37982,22.35672,1960.907,1941.597,,21.64304,22.10347,1,0.04301529,-0.005740205,0,0.049147313901944586,0.061053753797947544,0.03345104893616093,14.210931246202053,13.644251951063838,14.002918686098056,16.611320125200002,0.5666792951382149,-1.1241612931983944
8,353,108,BS 16076-006,-3.51,5566, 3.32,192.095,20.945555555555554,0.0003114680302052152,3954415903126795136,192.09467460493536,0.017371757,20.9455060196751,0.012491216,0.6003574404721866,0.0213697,13.323587,12.794673,13.668008,0.8733349,,,,108,0.000311468030205215,192.094674604935,0.017371757,20.9455060196751,0.012491216,0.600357440472187,0.0213697,13.323587,12.794673,13.668008,0.8733349,NaN,NaN,NaN,6378726784876153745,192.094920666472,20.945573606426,0.862325156241487,AIS,0.3403891,GALEX J124822.7+205644,1,264,106,-999,-999,17.1905,0.01985839,-999,-999,482.837,8.829064,0.03107206,192.45473,20.89166,1893.913,1920.785,,14.31532,14.4702,0,-99,-99,0,0.08073146448970597,0.10255715295816627,0.05710785069466403,13.565450847041834,12.737565149305336,13.242855535510294,16.9655382856,0.8278856977364981,-1.7393057496872366
9,310,96,BS 16077-007,-2.77,6486, 4.31,173.825,31.00658333333333,0.00047085446990876006,4024258569645322112,173.8247826721153,0.011773543,31.006148983630187,0.012550495,2.3365700252563846,0.015393687,12.277208,11.900658,12.494624,0.5939665,-3.4064,-3.8142,-2.8528,96,0.00047085446990876,173.824782672115,0.011773543,31.0061489836302,0.012550495,2.33657002525638,0.015393687,12.277208,11.900658,12.494624,0.5939665,-3.4064,-3.8142,-2.8528,6374821272331750762,173.825165622348,31.0063048740668,1.3081302550516,AIS,0.4252124,GALEX J113518.0+310022,3,95,95,19.56411,0.1762327,14.97673,0.01172447,54.24482,8.802682,3709.446,40.04721,0.02228341,173.83953,30.58127,1918.319,1912.51,,109.9789,107.9075,0,0.5039139,0.4689851,0,0.06085576087072301,0.07558046765420298,0.04139570771152723,12.419043532345796,11.859262292288474,12.216352239129277,14.8153981116,0.5597812400573225,-1.100387948772596
